case	status	runautorift_s	total_s	peak_bytes	measured	grid_rows	grid_cols	cv2_threads
S2B_MSIL1C_20200612T150759_N0209_R025_T22WEB_20200612T184700_X_S2A_MSIL1C_20200627T150921_N0209_R025_T22WEB_20200627T170912_G0120V02_P078	ok	36.038	39.733	2527051776	617166	1008	1008	12
S2A_MSIL1C_20200626T204021_N0209_R014_T07VEG_20200626T235742_X_S2B_MSIL1C_20200701T204019_N0209_R014_T07VEG_20200701T223901_G0120V02_P085	ok	30.809	32.546	2431107072	594819	1040	1040	12
S1C_IW_SLC__1SSV_20250416T010159_20250416T010216_001911_003B60_6CB9_X_S1C_IW_SLC__1SSV_20250428T010200_20250428T010217_002086_0045CC_D395_G0120V02_P022	ok	33.369	36.430	7751483392	41687	1280	2208	12
S1A_IW_SLC__1SSV_20240618T025533_20240618T025545_054372_069D69_C6C2_X_S1A_IW_SLC__1SSV_20240630T025533_20240630T025545_054547_06A37E_3A38_G0120V02_P062	ok	63.729	67.684	6089654272	582812	1736	1688	12
LT05_L1TP_060018_19851028_20200918_02_T1_X_LT05_L1GS_061018_19860123_20200918_02_T2_G0120V02_P012	ok	19.529	20.896	1497808896	162519	1488	2032	12
LE07_L1TP_061018_20120428_20200909_02_T1_X_LE07_L1TP_060018_20120726_20200908_02_T1_G0120V02_P011	ok	13.096	15.332	2828926976	139452	1656	2096	12
LC08_L1TP_060018_20130330_20200912_02_T1_X_LE07_L1TP_061018_20130415_20200907_02_T1_G0120V02_P042	ok	46.083	48.463	3440885760	720526	1760	2076	12
LE07_L1TP_061018_20130314_20200908_02_T1_X_LC08_L1TP_060018_20130330_20200912_02_T1_G0120V02_P044	ok	51.601	53.924	3490938880	758756	1936	2132	12
LT05_L1GS_001013_19920425_20200915_02_T2_X_LT05_L1GS_001013_19920628_20200914_02_T2_G0120V02_P000	ok	37.798	39.325	1984856064	20924	2176	2320	12
LT04_L1TP_063018_19880611_20200917_02_T1_X_LT04_L1TP_063018_19880627_20200917_02_T1_G0120V02_P019	ok	60.194	61.673	2187051008	292681	2344	2208	12
LC09_L1GT_215109_20220125_20230430_02_T2_X_LC09_L1GT_215109_20220210_20230428_02_T2_G0120V02_P020	ok	77.844	80.755	6818988032	470764	2288	2288	12
NISAR_L2_PR_GSLC_003_170_D_053_7700_SHNA_A_20251028T235201_20251028T235238_X05009_N_P_J_001_X_NISAR_L2_PR_GSLC_007_170_D_053_7700_SHNA_A_20251215T235203_20251215T235240_X05009_N_P_J_001_G0120V02_P093	ok	516.434	558.789	53083717632	1763166	2288	2288	12
LE07_L1TP_063018_20040810_20200915_02_T1_X_LE07_L1TP_063018_20040911_20200915_02_T1_G0120V02_P061	ok	85.501	88.028	4891459584	988194	2368	2240	12
LC08_L1TP_062018_20200823_20200905_02_T1_X_LC08_L1TP_062018_20201010_20201016_02_T1_G0120V02_P036	ok	86.200	88.708	4399005696	728027	2296	2320	12
NISAR_L1_PR_RSLC_003_170_D_053_7700_SHNA_A_20251028T235201_20251028T235238_X05009_N_P_J_001_X_NISAR_L1_PR_RSLC_007_170_D_053_7700_SHNA_A_20251215T235203_20251215T235240_X05009_N_P_J_001_G0120V02_P094	ok	812.249	825.249	28804300800	1802387	2328	2304	12
LC08_L1TP_009011_20200703_20200913_02_T1_X_LC08_L1TP_009011_20200820_20200905_02_T1_G0120V02_P078	ok	180.284	183.037	6170050560	1717752	2344	2336	12
S1A_IW_SLC__1SSH_20150828T162412_20150828T162431_007465_00A4AF_DC3E_X_S1A_IW_SLC__1SSH_20150909T162413_20150909T162443_007640_00A97D_922B_G0120V02_P086	ok	110.995	117.708	11003363328	1395281	2520	2664	12
S1A_IW_SLC__1SSV_20240618T025528_20240618T025549_054372_069D69_5633_X_S1A_IW_SLC__1SSV_20240630T025527_20240630T025548_054547_06A37E_7CD9_G0120V02_P072	ok	175.486	183.711	14274805760	1590438	2512	2776	12
S1A_IW_SLC__1SSH_20170221T204710_20170221T204737_015387_0193F6_AB07_X_S1B_IW_SLC__1SSH_20170227T204628_20170227T204655_004491_007D11_6654_G0120V02_P089	ok	173.638	182.918	15825092608	1717196	3000	2480	12
S1B_IW_SLC__1SDH_20180809T204617_20180809T204644_012191_01674F_9345_X_S1B_IW_SLC__1SDH_20180821T204618_20180821T204645_012366_016CC2_59A7_G0120V02_P030	ok	111.078	119.984	16040935424	525106	3008	2504	12
S1C_IW_SLC__1SDV_20250416T010214_20250416T010241_001911_003B60_79E0_X_S1C_IW_SLC__1SDV_20250428T010215_20250428T010242_002086_0045CC_8453_G0120V02_P064	ok	115.798	124.369	15971762176	533284	2784	3248	12
S1A_IW_SLC__1SSH_20151120T080202_20151120T080229_008685_00C5A7_105E_X_S1A_IW_SLC__1SSH_20151214T080202_20151214T080229_009035_00CF68_780C_G0120V02_P002	ok	86.795	95.298	15064039424	70796	3520	3280	12
